STATION CODE,LOCATIONS,STATE
1181.0,"KRISHNaN AT D/S OF NaNRAYANPURA DAM,KARNaNTAKA",KARNaNTAKA
1170.0,"KRISHNaN AT D/S OF DEVASAGAR BDG.,KARNaNTAKA",KARNaNTAKA
1028.0,"KRISHNaN AT TINTINI BRIDGE, KARNaNTAKA",KARNaNTAKA
2781.0,"KRISHNaN AT D/S OF ALAMATTI DAM, KARNaNTAKA",KARNaNTAKA
1175.0,"KRISHNaN AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",ANDHRA PRADESH
1465.0,"KRISHNaN AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH
1786.0,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH
1787.0,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH
25.0,"KRISHNaN AT VIJAYWADA, A.P.",ANDHRA PRADESH
3083.0,"KRISHNaN D/S OF SRISHAILAM,��KURNOOL, A.P.",ANDHRA PRADESH
1782.0,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH
1553.0,"YAMUNaN , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH
1554.0,"YAMUNaN , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH
2495.0,"YAMUNaN AT KESIGHAT, VRINDAVAN",UTTAR PRADESH
2494.0,"YAMUNaN AT VISHRAMGHAT, MATHURA",UTTAR PRADESH
2493.0,YAMUNaN AT SHAHPUR,UTTAR PRADESH
1069.0,"YAMUNaN AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH
1893.0,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNaNTAKA
1199.0,HEMAVATI AT D/S OF HOLENaNRASIPURA TOWN AT RAMADEVALA WEIR,KARNaNTAKA
1166.0,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNaNTAKA",KARNaNTAKA
1165.0,"ARKAVATHI AT D/S OF KANaNKAPURA TOWN, KARNaNTAKA",KARNaNTAKA
2778.0,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNaNTAKA",KARNaNTAKA
1196.0,"LAKSHMANTIRTHA��AT D/S OF HUNSUR TOWN, KARNaNTAKA",KARNaNTAKA
2772.0,"LAKSHMANTIRTHA��AT D/S OF KATTEMALAVADI, KARNaNTAKA",KARNaNTAKA
1207.0,"KABBANI AT MUTHANKARA, KERALA",KERALA
1197.0,"KABBANI AT SARAGUR VILLAGE D/S, KARNaNTAKA",KARNaNTAKA
41.0,"KABBANI AT CAUSE WAY��SATTUR, KARNaNTAKA",KARNaNTAKA
1445.0,"KABBANI AT WATER INTAKE OF KIADB AT NaNJANGUD,KARNaNTAKA",KARNaNTAKA
2775.0,"KABINI AT BATHING GHAT, NaNJANaNGUD, KARNaNTAKA",KARNaNTAKA
1208.0,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA
1201.0,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNaNDU",TAMILNaNDU
1204.0,"BHAVANI AT SIRUMUGAI,TAMILNaNDU",TAMILNaNDU
1321.0,"BHAVANI AT BHAVANI SAGAR, TAMILNaNDU",TAMILNaNDU
1205.0,"BHAVANI AT BHAVANI, TAMILNaNDU",TAMILNaNDU
3019.0,"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNaNDU",TAMILNaNDU
3020.0,"U/S OF KALINGARAYAN CANaNL (B5), ERODE, TAMILNaNDU",TAMILNaNDU
3021.0,"D/S OF KALINGARAYAN CANaNL (B10), ERODE, TAMILNaNDU",TAMILNaNDU
1510.0,"TONS RIVER, H.P",HIMACHAL PRADESH
2620.0,ASHWANI AT U/S YASHWANT NaNGAR,HIMACHAL PRADESH
2626.0,BATTA AT U/S PAONTA,HIMACHAL PRADESH
2627.0,BATTA BEFORE CONFLUENCE TO YAMUNaN,HIMACHAL PRADESH
2621.0,GIRI AT D/S YASHWANT NaNGAR,HIMACHAL PRADESH
2622.0,GIRI AT U/S CCI MINES,HIMACHAL PRADESH
2623.0,GIRI D/S SATAUN,HIMACHAL PRADESH
2617.0,PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH
2618.0,PABBAR AT U/S ROHRU,HIMACHAL PRADESH
2619.0,PABBAR AT D/S SWARAKUDDU,HIMACHAL PRADESH
1358.0,"HINDON AT GHAZIABAD D/S, U.P.",UTTAR PRADESH
1357.0,"HINDON AT SAHARANPUR D/S, U.P.",UTTAR PRADESH
1143.0,"TONS AT CHAKGHAT, M.P.",MADHYA PRADESH
1735.0,"BETWA AT GOVIND SAGAR, U.P",UTTAR PRADESH
1356.0,"BETWA BEFORE CONF. YAMUNaN AT HAMIRPUR, U.P.",UTTAR PRADESH
2955.0,"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA, RAJASTHAN",RAJASTHAN
1288.0,"CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN",RAJASTHAN
1289.0,"CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN",RAJASTHAN
1413.0,"CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN",RAJASTHAN
2954.0,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN
1367.0,KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,MADHYA PRADESH
2953.0,"KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",RAJASTHAN
2956.0,"KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",RAJASTHAN
2117.0,"BICHIA, BRIDGE GOVINDGARH ROAD",MADHYA PRADESH
2950.0,"BANaNS AT DHANaNRI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN",RAJASTHAN
2952.0,"BANaNS AT NEAR NEWTA DAM, JAIPUR, RAJASTHAN",RAJASTHAN
2946.0,"UJAD AT UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN",RAJASTHAN
1947.0,TEESTA AT SILIGURI,WEST BENGAL
2229.0,"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",ASSAM
2231.0,DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,ASSAM
2232.0,"KOHORA RIVER AT N.H. CROSSING, KOHORA",ASSAM
2233.0,"BOGINaNDI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM
2234.0,RANGA NaNDI D/S OF HYDEL PROJECT,ASSAM
2236.0,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NaNGAON",ASSAM
2238.0,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM
2239.0,"SANKOSH RIVER, DHUBRI",ASSAM
2240.0,BARAK RIVER AT D/S OF SILCHAR,ASSAM
2241.0,SONaNI RIVER AT SONaNI,ASSAM
2242.0,KUSHIARA RIVER AT KARIMGANJ,ASSAM
2523.0,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL
2524.0,"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT�",WEST BENGAL
2235.0,"PANCHNaNI RIVER AT NH-52 CROSSING, ORANG",ASSAM
1064.0,"RAMGANGA AT KANNaNUJ (BEFORE CONF.),U.P",UTTAR PRADESH
1065.0,"KALINaNDI AT KANNaNUJ (BEFORE CONF.),U.P",UTTAR PRADESH
2482.0,"VARUNaN AT RAMESHWAR, VARANaNSI",UTTAR PRADESH
2483.0,VARUNaN B/C WITH RIVER GANGA AT VARANaNSI,UTTAR PRADESH
1361.0,"SAI AT UNNaNO AFTER DRAIN OUTFALL, U.P.",UTTAR PRADESH
2484.0,"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH
1350.0,"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",UTTAR PRADESH
1351.0,"GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,U.P.",UTTAR PRADESH
1352.0,"GOMTI AT LUCKNOW D/S, U.P.",UTTAR PRADESH
1353.0,"GOMTI AT JAUNPUR D/S, U.P.",UTTAR PRADESH
1072.0,"GOMTI AT VARANaNSI, U.P",UTTAR PRADESH
2491.0,"RAPTI AT RAJGHAT, GORAKHPUR",UTTAR PRADESH
1363.0,"RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.",UTTAR PRADESH
1354.0,"SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",UTTAR PRADESH
1355.0,"GHAGHARA AT DEORIA D/S, U.P.",UTTAR PRADESH
2492.0,"GHAGHRA AT BARHALGANJ, GORAKHPUR",UTTAR PRADESH
1076.0,"GHAGHARA NEAR CHAPRA, BIHAR",BIHAR
1359.0,"RIHAND AT RENUKUT U/S, U.P.",UTTAR PRADESH
1360.0,"RIHAND AT RENUKUT D/S, U.P.",UTTAR PRADESH
1075.0,"SONE AT KOELWAR, BIHAR",BIHAR
3121.0,SONE RIVER NEAR BANZARI,BIHAR
3127.0,SONE RIVER AT BAHIYARA,BIHAR
3128.0,SONE RIVER AT NaNSIRIGANJ DAM,BIHAR
1078.0,"GANDAK AT SONEPUR, PATNaN (BEFORE CONFL.),BIHAR",BIHAR
2568.0,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR
2570.0,GANDAK ATSAMASTIPUR ROAD BRIDGE,BIHAR
3124.0,GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),BIHAR
3125.0,GANDAK RIVER GOPALGANJ - PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT),BIHAR
2575.0,"SIKRAHNaN RIVER AT LAL PARSE, BITTIAH",BIHAR
1820.0,SIKRANaN AT CHANPATIYA,BIHAR
3134.0,SIKRAHNaN RIVER AT LAURIA - HARINaNGAR ROAD BRIDGE,BIHAR
2562.0,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",BIHAR
2558.0,HARBORA RIVER AT NaNRKATIAGANJ,BIHAR
3126.0,U/S HARBORA RIVER,BIHAR
2567.0,KAMALA RIVER AT BENIPATTI (MADHUBANI),BIHAR
2569.0,KAMALA RIVER AT DARBHANGA,BIHAR
3133.0,KAMALA RIVER AT JAYNaNGAR,BIHAR
2563.0,"MANUSMAR RIVER AT RIGA, SITAMARHI",BIHAR
2565.0,KOSHI RIVER AT KURSHELA AT KATIHAR,BIHAR
2566.0,KOSHI RIVER AT MADHEPURA,BIHAR
3137.0,KOSHI RIVER AT BEERPUR,BIHAR
1821.0,DAHA AT SIWAM,BIHAR
2560.0,D/S DAHA RIVER AT SASAMUSA,BIHAR
2561.0,"DAHA RIVER AT ITWA BRIDGE, SIWAN",BIHAR
3129.0,DAHA RIVER AT MEERGANJ,BIHAR
1823.0,DHOUS AT MADHUBANI,BIHAR
1824.0,FARMAR AT JOGBANI,BIHAR
2559.0,RAM REKHA RIVER AT HARINaNGAR,BIHAR
3130.0,RAM REKHA RIVER AT U/S HARINaNGAR,BIHAR
1822.0,SIRSA AT RUXOL,BIHAR
3132.0,BAGMATI RIVER AT MUZAFFARPUR - SITAMARHI ROAD BRIDGE,BIHAR
3135.0,BAGMATI RIVER AT DARBHANGA - SAMASTIPUR ROAD BRIDGE,BIHAR
3119.0,PUNPUN RIVER NEAR PUNPUN RAIL BRIDGE,BIHAR
3120.0,PUNPUN RIVER NEAR KINZER ROAD BRIDGE,BIHAR
3136.0,SIRSIA RIVER D/S RAXAUL (KOERIA TOLA),BIHAR
1023.0,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB
1024.0,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB
1295.0,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB
1473.0,"GHAGGAR AT RATANHERI, D/S OF PATIALA NaNDI (AFTER CONFL.), PUNJAB",PUNJAB
1698.0,"D/S CHHATBIR, PUNJAB",PUNJAB
1699.0,"U/S DHAKANSU NaNLLAH, PUNJAB",PUNJAB
1700.0,"D/S DHAKANSU NaNLLAH, PUNJAB",PUNJAB
1701.0,"D/S JHARMAL NaNDI, PUNJAB",PUNJAB
1702.0,"U/S JHARMAL NaNDI, PUNJAB",PUNJAB
1703.0,"GHAGGER AT MOONaNK, PUNJAB",PUNJAB
1704.0,"D/S SARDULGARH, PUNJAB",PUNJAB
1705.0,"U/S SARDULGARH, PUNJAB",PUNJAB
1718.0,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANaN NEAR RD NO. 629, RAJASTHAN",RAJASTHAN
1871.0,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH
2624.0,MARKANDA U/S KALA AMB,HIMACHAL PRADESH
2625.0,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANaN,HIMACHAL PRADESH
1870.0,"RIVER SUKHANaN AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH
2947.0,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN
1717.0,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN
2948.0,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN
2949.0,"RIVER LUNI AT RANaNKPUR DAM, RANaNKPUR, PALI, RAJASTHAN",RAJASTHAN
2651.0,"AMBA RIVER AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA
1461.0,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA
2653.0,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
2654.0,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
1092.0,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA
2670.0,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA
1152.0,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA
2198.0,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA
2671.0,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINaN ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA
2672.0,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER��PUMPING STATION-SWEET ZONE), ROHA",MAHARASHTRA
2168.0,MITHI RIVER,MAHARASHTRA
1151.0,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA
1462.0,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA
2685.0,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA
2686.0,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA
2687.0,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA
2688.0,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA
2689.0,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA
2696.0,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA
2706.0,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA
2707.0,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA
2708.0,"SURYA RIVER AT INTAKE OF VASAI-VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA
2709.0,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA
1093.0,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA
1094.0,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA
2162.0,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA
2712.0,"VAITARNaN RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA
1189.0,"BHIMA AT PUNE U/S VITHALWADI, MAHARASHTRA",MAHARASHTRA
2655.0,"BHIMA RIVER AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",MAHARASHTRA
2656.0,"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",MAHARASHTRA
1190.0,"BHIMA AT PUNE, D/S OF BUNDGARDEN,MAHARASHTRA",MAHARASHTRA
1191.0,BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) MAHARASHTRA.,MAHARASHTRA
1192.0,"BHIMA AFTER CONF. WITH DAUNT, MAHARASHTRA",MAHARASHTRA
1188.0,"BHIMA AT NaNRSINGHPUR,(D/S AF.CONFL.WITH R.NIRA),MAHARASHTRA",MAHARASHTRA
28.0,"BHIMA AT TAKLI, MAHARASHTRA",MAHARASHTRA
1183.0,"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNaNTAKA",KARNaNTAKA
1184.0,"BHIMA AT FEROZABAD VILLAGE (D/S), KARNaNTAKA",KARNaNTAKA
1167.0,"BHIMA AT D/S OF BDG. NEAR YADGIR,KARNaNTAKA",KARNaNTAKA
1888.0,BHIMA RIVER AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,KARNaNTAKA
1399.0,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANaNL JOINS, GOA",GOA
1475.0,ZUARI AT PANCHAWADI,GOA
3181.0,RIVER ZUARI AT BORIM BRIDGE,GOA
3182.0,RIVER ZUARI AT MARCAIM JETTY,GOA
1400.0,"MANDOVI AT NEGHBOURHOOD OF PANaNJI, GOA",GOA
1476.0,"MANDOVI AT TONCA, MARCELA, GOA",GOA
